name,season,episode,deaths
Stevron Frey,Season 7,Dragonstone,Ser Stevron Frey - Poisoned by Arya Stark.
Rorge,Season 4,Mockingbird,Rorge - Stabbed in the heart by Arya Stark with Needle.
Rickard Stark,Season 8,The Iron Throne,Lord Rickard Karstark - 2 (Deceased)
Visenya Targaryen,Season 8,The Long Night,Viserion (Wight) - Died when Arya Stark killed the Night King.
Petyr Baelish,Season 8,The Iron Throne,Lord Petyr Baelish/Littlefinger - 3 (Deceased)
Viserys Targaryen,Season 8,The Long Night,Viserion (Wight) - Died when Arya Stark killed the Night King.
Varys,Season 8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.
Timeon,Season 3,And Now His Watch Is Ended,"Bannen - Starved to death off-screen, body shown."
Shae,Season 4,The Children,Shae - Strangled by Lord Tyrion Lannister with her neckless.
Rodrik Greyjoy,Season 2,The Night Lands,"Rodrik Greyjoy - Died in an unspecified manner off-screen, mentioned."
Trystane Martell,Season 6,The Red Woman,Prince Doran Martell - Stabbed in the chest by Ellaria Sand with a knife.
Willam Dustin,Season 2,What Is Dead May Never Die,"Willem - Hit in the head by Yoren with an axe off-screen, mentioned."
Torrhen Karstark,Season 8,The Iron Throne,Lord Rickard Karstark - 2 (Deceased)
Ygritte,Season 4,The Watchers on the Wall,Ygritte - Shot in the heart by Olly with an arrow using a bow.
Tyland Lannister,Season 8,The Iron Throne,Lord Tywin Lannister - 3 (Deceased)
Thoren Smallwood,Season 7,Beyond the Wall,Thoros of Myr - Froze to death after being injured by a wight snow bear.
Selyse Florent,Season 4,The Lion and the Rose,Lord Axell Florent - Burned alive by unknown Baratheon soldiers on the orders of Melisandre/The Red Woman.
Sandor Clegane,Season 8,The Iron Throne,Sandor Clegane/The Hound - 57 (Deceased)
Ulf son of Umar,Season 5,Sons of the Harpy,Two Unnamed Unsullied - Stabbed to death by unknown members of the Sons of the Harpy with knives.
Kraznys mo Nakloz,Season 3,And Now His Watch Is Ended,Kraznys mo Nakloz - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.
Dacey Mormont,Season 6,The Broken Man,"Lady Maege Mormont - Died of unknown causes during the War of the Five Kings off-screen, mentioned."
Jojen Reed,Season 4,The Children,Jojen Reed - Stabbed by Meera Reed after being stabbed by Wight with a knife.
Lyonel Baratheon,Season 4,The Lion and the Rose,Lord Axell Florent - Burned alive by unknown Baratheon soldiers on the orders of Melisandre/The Red Woman.
Vardis Egen,Season 1,A Golden Crown,"Ser Vardis Egen - Stabbed in the neck by Bronn with a sword, then thrown through the Moon Door."
Jeor Mormont,Season 8,The Iron Throne,Lord Commander Jeor Mormont - 1 (Deceased)
Rhaego,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Rhaegar Frey,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Qyburn,Season 8,The Iron Throne,Qyburn (Order of Maesters) - 2 (Deceased)
Weese,Season 5,The Wars To Come,White Rat - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Rickon Stark,Season 6,Battle of the Bastards,Rickon Stark - Shot in the back by Lord Ramsay Bolton with an arrow using a bow.
Robar Royce,Season 2,The Ghost of Harrenhal,Ser Robar Royce - Stabbed in the back by Brienne of Tarth with a sword.
Rhae Targaryen,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Ryman Frey,Season 7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.
Pyg,Season 8,The Iron Throne,Pypar/Pyp - 1 (Deceased)
Xaro Xhoan Daxos,Season 8,The Iron Throne,King Xaro Xhoan Daxos - 6 (Deceased)
Maelor Targaryen,Season 1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Alysanne Targaryen,Season 8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.
Baela Targaryen,Season 1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Brandon Stark,Season 8,The Iron Throne,King/Lord Brandon I Stark - 6 (Alive)
Jafer Flowers,Season 3,Valar Dohaeris,"Ser Jaremy Mallister - Stabbed in the chest by an unknown Lannister soldier off-screen, body shown."
Mycah,Season 1,The Kingsroad,Mycah - Trampled to death by Sandor Clegane/The Hound with his horse on the orders of Prince Joffrey Baratheon.
Rossart,Season 2,What Is Dead May Never Die,Yoren - Stabbed in the back of the neck by Ser Amory Lorch with a sword.
Waymar Royce,Season 8,The Long Night,Wight - Shot by Theon Greyjoy with a flaming arrow using a bow.
Stiv,Season 1,A Golden Crown,Stiv - Shot in the back by Theon Greyjoy with an arrow using a bow.
Daemon II Blackfyre,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Hugh Hammer,Season 8,The Iron Throne,Adrack Humble - 1 (Deceased)
Rhaegar Targaryen,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Drogo,Season 1,Fire and Blood,Khal Drogo - Suffocated by Daenerys Targaryen with a pillow after he was made comatose by Mirri Maz Duur using blood magic.
Barra,Season 2,The North Remembers,Barra - Sliced by Lord Janos Slynt with a knife on the orders of King Joffrey I Baratheon.
Loras Tyrell,Season 3,Valar Dohaeris,Wight - Burned alive by Lord Commander Jeor Mormont with a torch.
Stalwart Shield,Season 1,The Wolf and the Lion,Unnamed Stark Soldier - Hit in the head by an unknown Hill Tribesman with a spiked club.
Rohanne Webber,Season 6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown."
Walder Rivers,Season 8,The Iron Throne,Walder Rivers - 1 (Deceased)
Symon Silver Tongue,Season 4,Two Swords,Ser Duncan the Tall - Burned alive by unknown people during the Tragedy at Summerhall.
Laena Velaryon,Season 8,The Iron Throne,Lady Lysa Arryn - 1 (Deceased)
Luwin,Season 2,Valar Morghulis,Maester Luwin - Stabbed by Osha after being stabbed in the stomach by Dagmer with a spear.
Reek,Season 3,The Rains of Castamere,Orell - Stabbed in the stomach by Jon Snow using Longclaw.
Tytos Lannister,Season 8,The Iron Throne,Lord Tywin Lannister - 3 (Deceased)
