Season,Episode,Deaths
Season 5,Hardhome,Lord of Bones/Rattleshirt - Beaten to death by Tormund Giantsbane with a staff.
Season 5,Hardhome,"Four Unnamed Free Folk - Killed by unknown members of the Night's Watch off-screen, mentioned."
Season 5,Hardhome,At Least 458 Unnamed Free Folk - Killed by wights off-screen. Reanimated as wights.
Season 5,Hardhome,Six Wight - Shot in the head by unknown Free Folk with arrows using bows.
Season 5,Hardhome,Wight - Head crushed by an unknown Free Folk.
Season 5,Hardhome,Wight - Shot in the head by an unknown member of the Night's Watch with an arrow using a bow.
Season 5,Hardhome,Unnamed Free Folk - Mauled by wights. Reanimated as a wight.
Season 5,Hardhome,Wight - Stabbed to death by unknown Free Folk.
Season 5,Hardhome,Three Unnamed Free Folk - Mauled by wights. Reanimated as wight.
Season 5,Hardhome,Wight - Stabbed in the back by an unknown Free Folk with an axe.
Season 5,Hardhome,Wight - Stabbed in the stomach by an unknown member of the Night's Watch with a sword.
Season 5,Hardhome,Three Unnamed Free Folk - Stabbed to death by wights. Reanimated as wights.
Season 5,Hardhome,Wight - Stabbed by Tormund Giantsbane with an axe.
Season 5,Hardhome,Three Unnamed Free Folk - Stabbed to death by wights. Reanimated as wight.
Season 5,Hardhome,Wight - Destroyed by Loboda with an axe.
Season 5,Hardhome,Wight - Stabbed by Karsi with an ice axe.
Season 5,Hardhome,Wight - Stabbed by Tormund Giantsbane with an axe.
Season 5,Hardhome,Two Unnamed Free Folk - Mauled by wights. Reanimated as wight.
Season 5,Hardhome,Wight - Cut in half by Lord Commander Jon Snow using Longclaw.
Season 5,Hardhome,Two Wight - Slashed by Lord Commander Jon Snow using Longclaw.
Season 5,Hardhome,Two Wight - Slammed into the ground by Wun Weg Wun Dar Wun.
Season 5,Hardhome,Wight - Ripped in half by Wun Weg Wun Dar Wun.
Season 5,Hardhome,Two Wight - Crushed by Wun Weg Wun Dar Wun.
Season 5,Hardhome,Loboda - Stabbed in the stomach by a White Walker with an ice blade. Reanimated as a wight.
Season 5,Hardhome,White Walker - Shattered after being slashed by Lord Commander Jon Snow using Longclaw.
Season 5,Hardhome,Two Wight - Chest slashed by Tormund Giantsbane with a sword.
Season 5,Hardhome,Two Wight - Stabbed in the head by Tormund Giantsbane with a sword.
Season 5,Hardhome,Two Wight - Stabbed in the neck by Karsi with an ice axe.
Season 5,Hardhome,Three Wight - Stabbed to death by Karsi with an ice axe.
Season 5,Hardhome,Karsi - Mauled by wights. Reanimated as a wight.
Season 5,Hardhome,Wight - Stabbed in the chest by Tormund Giantsbane with a thrown sword.
Season 5,Hardhome,Unnamed Free Folk - Crushed to death by a wall collapsed by wights. Reanimated as a wight.
Season 5,Hardhome,22 Wight - Beaten to death by Wun Weg Wun Dar Wun with a flaming plank.
Season 5,Hardhome,"44 Unnamed Free Folk - Killed by wights off-screen, bodies shown. Reanimated as wight."
Season 5,Hardhome,Two Unnamed Free Folk - Slashed by wights with blades. Reanimated as wight.
Season 5,Hardhome,Six Unnamed Free Folk - Stabbed to death by wights. Reanimated as wight.
Season 5,Hardhome,Unnamed Free Folk - Stabbed in the stomach by a White Walker with an ice blade. Reanimated as a wight.
Season 5,The Dance of Dragons,Horse - Burned alive by unknown Bolton soldiers.
Season 5,The Dance of Dragons,"At Least 100 Horses - Burned alive by unknown Bolton soldiers off-screen, mentioned."
Season 5,The Dance of Dragons,"Ser Byron Swann - Burned alive by Vhagar with his fire breath off-screen, mentioned."
Season 5,The Dance of Dragons,"Unnamed Man - Committed suicide by consuming poison off-screen, body shown."
Season 5,The Dance of Dragons,Princess Shireen Baratheon - Burned alive by Melisandre.
Season 5,The Dance of Dragons,Unnamed Fighter - Decapitated by an unknown fighter with a sword.
Season 5,The Dance of Dragons,Unnamed Fighter - Stabbed in the stomach by an unknown fighter with a sword.
Season 5,The Dance of Dragons,Unnamed Fighter - Stabbed in the chest by Ser Jorah Mormont with a knife.
Season 5,The Dance of Dragons,Unnamed Fighter - Impaled in the chest by an unknown fighter with a thrown spear.
Season 5,The Dance of Dragons,Unnamed Fighter - Stabbed in the back by an unknown fighter with a spear.
Season 5,The Dance of Dragons,Unnamed Fighter - Stabbed in the stomach by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Impaled in the stomach by Ser Jorah Mormont with a thrown spear.
Season 5,The Dance of Dragons,Two Unnamed Male Meereen Civilians - Throats slit by unknown members of the Sons of the Harpy with knives.
Season 5,The Dance of Dragons,Unnamed Female Meereen Civilian - Stabbed to death by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Dance of Dragons,"Unnamed Unsullied - Killed by unknown members of the Sons of the Harpy off-screen, body shown."
Season 5,The Dance of Dragons,"Nine Unnamed Meereen Civilians - Killed by unknown members of the Sons of the Harpy off-screen, bodies shown."
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stomach slashed by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by an unknown Unsullied with a spear.
Season 5,The Dance of Dragons,Unnamed Unsullied - Stabbed to death by unknown members of the Sons of the Harpy with knifes.
Season 5,The Dance of Dragons,Unnamed Unsullied - Throat slit by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stomach cut open by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Hizdahr zo Loraq - Stabbed to death by unknown members of the Sons of the Harpy with knifes.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Slashed by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the back of the neck by Lord Tyrion Lannister with a knife.
Season 5,The Dance of Dragons,"Eight Unnamed Meereen Civilians - Killed by unknown members of the Sons of the Harpy off-screen, bodies shown."
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the back by an unknown Unsullied with a spear.
Season 5,The Dance of Dragons,Unnamed Unsullied - Hit in the head by an unknown member of the Sons of the Harpy with a shield.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,"235 Unnamed Meereen Civilians - Killed by unknown members of the Sons of the Harpy off-screen, bodies shown."
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by an unknown Unsullied with a spear.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Slashed by an unknown Unsullied with a spear.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Slashed by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,Unnamed Unsullied - Slashed by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Dance of Dragons,Two Unnamed Members of The Sons of the Harpy - Stabbed in the stomach by unknown Unsullied with spears.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Slashed by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Unnamed Unsullied - Slashed by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stomach slashed by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Daario Naharis with a knife.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed by Ser Jorah Mormont with a sword.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by an unknown Unsullied with a spear.
Season 5,The Dance of Dragons,Two Unnamed Members of The Sons of the Harpy - Crushed by Drogon.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Head bitten off by Drogon.
Season 5,The Dance of Dragons,Nine Unnamed Members of The Sons of the Harpy - Burned alive by Drogon with his fire breath.
Season 5,The Dance of Dragons,Unnamed Unsullied - Burned alive by Drogon with his fire breath.
Season 5,The Dance of Dragons,Six Unnamed Members of The Sons of the Harpy - Burned alive by Drogon with his fire breath.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Head bitten off by Drogon.
Season 5,The Dance of Dragons,Unnamed Unsullied - Slashed by an unknown member of the Sons of the Harpy with a knife.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Slashed by Daario Naharis with an arakh.
Season 5,The Dance of Dragons,Unnamed Member of The Sons of the Harpy - Stabbed in the stomach by Ser Jorah Mormont with a sword.
Season 5,Mother's Mercy,"Queen Selyse Baratheon - Committed suicide by hanging herself off-screen, body shown."
Season 5,Mother's Mercy,"21 Unnamed Baratheon Soldiers - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 5,Mother's Mercy,"Two Horses - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 5,Mother's Mercy,Unnamed Baratheon Soldier - Killed by Gordy and Simpson with a sword off-camera.
Season 5,Mother's Mercy,Gordy - Stabbed in the throat by King Stannis Baratheon with a knife.
Season 5,Mother's Mercy,Simpson - Stabbed in the neck by King Stannis Baratheon with a knife.
Season 5,Mother's Mercy,King Stannis Baratheon - Decapitated by Lady Brienne of Tarth with Oathkeeper off-camera.
Season 5,Mother's Mercy,Unnamed Baratheon Soldier - Slashed by Lord Ramsay Bolton with a sword.
Season 5,Mother's Mercy,"68 Unnamed Baratheon Soldiers - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 5,Mother's Mercy,"Four Horses - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 5,Mother's Mercy,Unnamed Baratheon Soldier - Stabbed in the back by Lord Ramsay Bolton with a sword.
Season 5,Mother's Mercy,"1,208 Unnamed Baratheon Soldiers - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 5,Mother's Mercy,Myranda - Fell to her death after being pushed off a rampart by Prince Theon Greyjoy/Reek.
Season 5,Mother's Mercy,"Ser Meryn Trant - Stabbed in the eyes, chest, stomach, and back, then had his throat slit by Arya Stark with a dagger."
Season 5,Mother's Mercy,Unnamed Faceless Man - Committed suicide by consuming poison.
Season 5,Mother's Mercy,Princess Myrcella Baratheon - Poisoned by Ellaria Sand with the long farewell.
Season 5,Mother's Mercy,"12 Rams - Burned alive by Drogon with his fire breath off-screen, skeletons shown."
Season 6,The Red Woman,Unnamed Bolton Soldier - Slashed by Lady Brienne of Tarth with Oathkeeper.
Season 6,The Red Woman,Unnamed Bolton Soldier - Throat slashed by Lady Brienne of Tarth with Oathkeeper.
Season 6,The Red Woman,Horse - Slashed by Lady Brienne of Tarth with Oathkeeper.
Season 6,The Red Woman,Unnamed Bolton Soldier - Stabbed in the stomach by Ser Podrick Payne with a sword.
Season 6,The Red Woman,Unnamed Bolton Soldier - Throat slit by Lady Brienne of Tarth with a knife.
Season 6,The Red Woman,Unnamed Bolton Soldier - Stabbed in the back by Prince Theon Greyjoy with a sword.
Season 6,The Red Woman,Areo Hotah - Stabbed in the back by Tyene Sand with a dagger.
Season 6,The Red Woman,Maester Caleotte - Stabbed in the back of the beck by Tyene Sand with a thrown dagger.
Season 6,The Red Woman,Prince Doran Martell - Stabbed in the chest by Ellaria Sand with a knife.
Season 6,Home,"Four Pigs - Killed by unknown people off-screen, bodies shown in a flashback."
Season 6,Home,Unnamed Member of The Night's Watch - Slashed by Tormund Giantsbane with a sword.
Season 6,Home,Unnamed Member of The Night's Watch - Slammed against a wall by Wun Weg Wun Dar Wun.
Season 6,Home,Unnamed Man - Head slammed against a wall by Ser Gregor Clegane/The Mountain.
Season 6,Home,Lord Roose Bolton - Stabbed in the chest by Lord Ramsay Bolton with a knife.
Season 6,Home,Walda Bolton - Mauled by the bastard's girls on the orders of Lord Ramsay Bolton.
Season 6,Home,Walda Bolton's Baby - Mauled by the bastard's girls on the orders of Lord Ramsay Bolton.
Season 6,Oathbreaker,"Unnamed Stark Soldier - Stabbed in the stomach by Ser Gerold Hightower with a sword, shown in a flashback."
Season 6,Oathbreaker,"Ser Gerold Hightower - Stabbed in the neck by Lord Eddard Stark with Dawn, shown in a flashback."
Season 6,Oathbreaker,"Two Unnamed Stark Soldiers - Throats slashed by Ser Arthur Dayne with swords, shown in a flashback."
Season 6,Oathbreaker,"Unnamed Stark Soldier - Stabbed in the stomach by Ser Arthur Dayne with a sword, shown in a flashback."
Season 6,Oathbreaker,Ser Arthur Dayne - Slashed by Lord Eddard Stark with Dawn after being stabbed in the neck by Lord Howland Reed.
Season 6,Oathbreaker,"Khal Savo - Died in an unspecified manner off-screen, mentioned."
Season 6,Oathbreaker,"Ten Unnamed Khals - Died in an unspecified manner off-screen, mentioned."
Season 6,Oathbreaker,"Unnamed Man - Flayed alive by an unknown Bolton soldier off-screen, body shown."
Season 6,Oathbreaker,"Lord Jon Umber/The Greatjon - Died of unknown causes during the War of the Five Kings off-screen, mentioned."
Season 6,Oathbreaker,"Shaggydog (Direwolf) - Decapitated by Lord Smalljon Umber off-screen, head shown."
Season 6,Oathbreaker,Bowen Marsh - Hung by Lord Commander Jon Snow.
Season 6,Oathbreaker,Othell Yarwyck - Hung by Lord Commander Jon Snow.
Season 6,Oathbreaker,Ser Alliser Thorne - Hung by Lord Commander Jon Snow.
Season 6,Book of the Stranger,Iggo - Neck broken by Daario Naharis.
Season 6,Book of the Stranger,Aggo - Stabbed in the back by Daario Naharis with a knife.
Season 6,Book of the Stranger,"High Sparrow's Father - Died in an unspecified manner off-screen, mentioned."
Season 6,Book of the Stranger,Osha - Stabbed in the neck by Lord Ramsay Bolton with a knife.
Season 6,Book of the Stranger,"Two Unnamed Dothraki Guards - Killed by an unknown person off-screen, bodies shown."
Season 6,Book of the Stranger,Two Unnamed Khals - Burned alive by Queen Daenerys Targaryen.
Season 6,Book of the Stranger,Six Unnamed Bloodriders - Burned alive by Queen Daenerys Targaryen.
Season 6,Book of the Stranger,Khal Rhalko - Burned alive by Queen Daenerys Targaryen.
Season 6,Book of the Stranger,Khal Forzho - Burned alive by Queen Daenerys Targaryen.
Season 6,Book of the Stranger,Khal Brozho - Burned alive by Queen Daenerys Targaryen.
Season 6,Book of the Stranger,Khal Qorro - Burned alive by Queen Daenerys Targaryen.
Season 6,The Door,"Unnamed Man - Committed suicide by consuming poison off-screen, body shown."
Season 6,The Door,"Two Unnamed Slave Masters - Killed by unknown Meereen civilians off-screen, mentioned."
Season 6,The Door,13 Wight - Blown up by Leaf and unknown Children of the Forest with thrown fireballs.
Season 6,The Door,Wight - Slashed by Meera Reed with an axe.
Season 6,The Door,Wight - Mauled by Summer.
Season 6,The Door,Wight - Stabbed in the head by Leaf with a knife.
Season 6,The Door,Wight - Shot by an unknown Child of the Forest with an arrow using a bow.
Season 6,The Door,Unnamed Child of The Forest - Stabbed by a wight with an axe.
Season 6,The Door,Three Wight - Shot by unknown Children of the Forest with arrows using bows.
Season 6,The Door,Unnamed Child of The Forest - Mauled by wights.
Season 6,The Door,Wight - Slashed by an unknown Child of the Forest with a sword.
Season 6,The Door,Wight - Slashed by Meera Reed with a sword.
Season 6,The Door,Wight - Stabbed in the chest by an unknown Child of the Forest with a spear.
Season 6,The Door,Unnamed Child of The Forest - Stabbed in the stomach by a White Walker with an ice blade.
Season 6,The Door,White Walker - Shattered by Meera Reed with a thrown dragonglass spear.
Season 6,The Door,Summer (Direwolf) - Stabbed to death by wights.
Season 6,The Door,Three-Eyed Raven - Slashed by the Night King with an ice falx.
Season 6,The Door,Leaf - Stabbed to death by wights.
Season 6,The Door,At Least 43 Wight - Blown up by Leaf with a fireball.
Season 6,Blood of My Blood,"King Aerys II Targaryen/Mad King - Stabbed in the back by Jaime Lannister with a sword, shown in a flashback."
Season 6,Blood of My Blood,Two Wight - Hit in the chest by Benjen Stark with a burning flail.
Season 6,Blood of My Blood,Two Wight - Shattered by Benjen Stark with a burning flail.
Season 6,Blood of My Blood,Wight - Burned alive by Benjen Stark with a burning flail.
Season 6,Blood of My Blood,"Deer - Shot by Dickon Tarly with an arrow off-screen, mentioned."
Season 6,Blood of My Blood,"Unnamed Man - Committed suicide by consuming poison off-screen, body shown."
Season 6,The Broken Man,"Lady Maege Mormont - Died of unknown causes during the War of the Five Kings off-screen, mentioned."
Season 6,The Broken Man,"Unnamed Boy - Throat slit by Brother Ray off-screen, mentioned."
Season 6,The Broken Man,"At Least 27 Unnamed Civilians - Killed by Lem Lemoncloak, Morgan, and Gatins off-screen, bodies shown."
Season 6,No One,Steve - Decapitated by Sandor Clegane/The Hound with an axe.
Season 6,No One,Riddell - Stabbed in the chest by Sandor Clegane/The Hound with an axe.
Season 6,No One,Morgan - Throat slit by Sandor Clegane/The Hound with an axe.
Season 6,No One,Gatins - Hit in the head by Sandor Clegane/The Hound with an axe.
Season 6,No One,Unnamed Member of The Faith Militant - Head ripped off by Ser Gregor Clegane/The Mountain.
Season 6,No One,"Ser Brynden Tully/Blackfish - Killed by unknown Lannister and Frey soldiers off-screen, mentioned."
Season 6,No One,Unnamed Member of The Brotherhood Without Banners - Hung by Sandor Clegane/The Hound.
Season 6,No One,Lem Lemoncloak - Hung by Sandor Clegane/The Hound.
Season 6,No One,Unnamed Member of The Brotherhood Without Banners - Hung by Lord Beric Dondarrion.
Season 6,No One,Lady Crane - Throat slit by the Waif.
Season 6,Battle of the Bastards,Four Unnamed Meereen Civilians - Blown up by unknown slavers with flaming cannonballs.
Season 6,Battle of the Bastards,15 Unnamed Meereen Civilians - Stabbed to death by unknown member of the Sons of the Harpy with knives.
Season 6,Battle of the Bastards,Unnamed Member of The Sons of the Harpy - Decapitated by Daario Naharis with an arakh.
Season 6,Battle of the Bastards,"17 Unnamed Slavers - Burned alive by Drogon, Rhaegal, and Viserion with their fire breath on the orders of Queen Daenerys I Targaryen."
Season 6,Battle of the Bastards,Belicho Paenymion - Throat slashed by Grey Worm with a knife.
Season 6,Battle of the Bastards,Razdal mo Eraz - Throat slashed by Grey Worm with a knife.
Season 6,Battle of the Bastards,"Six Unnamed People - Flayed and burned alive by unknown Bolton soldiers off-screen, bodies shown."
Season 6,Battle of the Bastards,Rickon Stark - Shot in the back by Lord Ramsay Bolton with an arrow using a bow.
Season 6,Battle of the Bastards,Horse - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Northern Soldier - Stabbed by an unknown Bolton soldier with a spear.
Season 6,Battle of the Bastards,Horse - Stabbed by an unknown Bolton soldier with a spear.
Season 6,Battle of the Bastards,Four Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Three Horses - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Throat slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stomach sliced open by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Seven Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Back slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the stomach by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the head by an unknown Northern soldier.
Season 6,Battle of the Bastards,Two Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Northern Soldier - Stabbed to death by unknown Bolton soldiers.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the chest by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed to death by Jon Snow using Longclaw after being charged by a horse.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Impaled by an unknown Northern soldier with a spear.
Season 6,Battle of the Bastards,Horse - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Six Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Two Unnamed Bolton Soldiers - Slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Six Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Two Horses - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Northern Soldier - Stabbed in the back by an unknown Bolton soldier with a sword.
Season 6,Battle of the Bastards,Three Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Throat slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Chest slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Four Unnamed Northern Soldiers - Shot by unknown Bolton soldiers with arrows using bows.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Throat slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the back by Tormund Giantsbane.
Season 6,Battle of the Bastards,Horse - Punched by Wun Weg Wun Dar Wun.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Punched by Wun Weg Wun Dar Wun.
Season 6,Battle of the Bastards,Lord Harald Karstark - Killed by an unknown Bolton soldier.
Season 6,Battle of the Bastards,"1,082 Unnamed Northern Soldiers - Killed by unknown Bolton soldiers off-screen, bodies shown."
Season 6,Battle of the Bastards,12 Unnamed Northern Soldiers - Stabbed by unknown Bolton soldiers with spears.
Season 6,Battle of the Bastards,Unnamed Northern Soldier - Slashed by Lord Smalljon Umber with a sword.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the chest by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Throw by Wun Weg Wun Dar Wun.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the stomach by Tormund Giantsbane.
Season 6,Battle of the Bastards,Two Unnamed Bolton Soldiers - Slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Four Unnamed Bolton Soldiers - Slashed by unknown Northern soldiers.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Stabbed in the chest by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Head ripped off by Wun Weg Wun Dar Wun.
Season 6,Battle of the Bastards,Six Unnamed Northern Soldiers - Stabbed to death by unknown Bolton soldiers.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Back slashed by Tormund Giantsbane.
Season 6,Battle of the Bastards,Six Unnamed Northern Soldiers - Stabbed by unknown Bolton soldiers with spears.
Season 6,Battle of the Bastards,Unnamed Bolton Soldier - Slashed by Jon Snow using Longclaw.
Season 6,Battle of the Bastards,Lord Smalljon Umber - Stabbed to death by Tormund Giantsbane with a knife.
Season 6,Battle of the Bastards,"5,950 Unnamed Bolton Soldiers - Killed by unknown Northern soldiers and knights of the Vale."
Season 6,Battle of the Bastards,19 Unnamed Bolton Soldiers - Shot by unknown Northern soldiers with arrows using bows.
Season 6,Battle of the Bastards,Wun Weg Wun Dar Wun - Shot in the eye by Lord Ramsay Bolton with an arrow using a bow.
Season 6,The Winds of Winter,Grand Maester Pycelle - Stabbed to death by unknown children with knives on the orders of Qyburn.
Season 6,The Winds of Winter,Lancel Lannister - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,High Sparrow - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Boake - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Ser Loras Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Queen Margaery Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Lord Mace Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Ser Kevan Lannister - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Moelle - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,Scolera - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,At least Ten Unnamed Sparrows - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,At Least 34 Unnamed Members of The Faith Militant - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,At Least 127 Unnamed King's Landing Civilians - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Season 6,The Winds of Winter,King Tommen I Baratheon - Committed suicide by jumping from the Red Keep.
Season 6,The Winds of Winter,"Walder Rivers - Killed and carved into a pie by Arya Stark off-screen, body shown."
Season 6,The Winds of Winter,"Lothar Frey - Killed and carved into a pie by Arya Stark off-screen, body shown."
Season 6,The Winds of Winter,Lord Walder Frey - Throat slit by Arya Stark with a knife.
Season 7,Dragonstone,Ser Stevron Frey - Poisoned by Arya Stark.
Season 7,Dragonstone,Ryger Rivers - Poisoned by Arya Stark.
Season 7,Dragonstone,38 Unnamed Frey Knights - Poisoned by Arya Stark.
Season 7,Dragonstone,"Maester Weyland - Died of liver failure off-screen, body shown."
Season 7,Dragonstone,"Two Rabbits - Killed and cooked by unknown Lannister soldiers off-screen, bodies shown."
Season 7,Dragonstone,"Sally - Throat slit by an unknown farmer with a knife off-screen, body shown."
Season 7,Stormborn,"Archmaester Pylos - Died after being infected with greyscale off-screen, mentioned."
Season 7,Stormborn,Unnamed Ironborn Soldier - Crushed by Euron Greyjoy with Silence.
Season 7,Stormborn,Unnamed Ironborn Soldier - Chest slashed by Euron Greyjoy with an axe.
Season 7,Stormborn,Three Unnamed Ironborn Soldier - Throats slashed by unknown Ironborn soldiers.
Season 7,Stormborn,Unnamed Ironborn Soldier - Throat slashed by Theon Greyjoy with a knife.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stabbed in the chest by Theon Greyjoy with a knife.
Season 7,Stormborn,Two Unnamed Ironborn Soldiers - Slashed by Yara Greyjoy with a sword.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stabbed in the stomach by Yara Greyjoy with a sword.
Season 7,Stormborn,Unnamed Ironborn Soldier - Beaten to death by an unknown Ironborn soldier.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stomach slashed by Euron Greyjoy with an axe.
Season 7,Stormborn,Two Unnamed Ironborn Soldiers - Slashed by Yara Greyjoy with a sword.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stabbed in the head by Tyene Sand with a thrown knife.
Season 7,Stormborn,Unnamed Ironborn Soldier - Slashed by Tyene Sand with a knife.
Season 7,Stormborn,Two Unnamed Ironborn Soldiers - Throats slashed by Theon Greyjoy with a knife.
Season 7,Stormborn,Unnamed Ironborn Soldier - Throat slashed by Yara Greyjoy with a sword.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stabbed in the stomach by Yara Greyjoy with a sword.
Season 7,Stormborn,Unnamed Ironborn Soldier - Stabbed in the head by Euron Greyjoy with an axe.
Season 7,Stormborn,Unnamed Ironborn Soldier - Throat slashed by Tyene Sand with a knife.
